Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;David Raya-Arsenal;Ben White-Arsenal;William Saliba-Arsenal;Jakub Kiwior-Arsenal;Oleksandr Zinchenko-Arsenal;Martin Ødegaard-Arsenal;Declan Rice-Arsenal;Mikel Merino-Arsenal;Bukayo Saka-Arsenal;Leandro Trossard-Arsenal;Gabriel Martinelli-Arsenal;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Jurriën Timber-Arsenal;Myles Lewis-Skelly-Arsenal;Yakubu Partey-Arsenal;Kieran Tierney-Arsenal;Jorge Luiz Frello-Arsenal;Ethan Nwaneri-Arsenal;Raheem Sterling-Arsenal;Gabriel Magalhães-Arsenal;Riccardo Calafiori-Arsenal;Kai Havertz-Arsenal;Norberto Murara-Arsenal;Gabriel Jesus-Arsenal;Tommy Setford-Arsenal;Jack Porter-Arsenal;Joshua Nichols-Arsenal;Fábio Vieira-Arsenal;Karl Jakob Hein-Arsenal;Reiss Nelson-Arsenal;Ayden Heaven-Arsenal;Salah-Eddine Oulad M'Hand-Arsenal;Eddie Nketiah-Arsenal;Takehiro Tomiyasu-Arsenal;Emile Smith Rowe-Arsenal;Aaron Ramsdale-Arsenal;Cédric Soares-Arsenal;Mohamed Elneny-Arsenal;Charles Sagoe Jr-Arsenal;Granit Xhaka-Arsenal;Rob Holding-Arsenal
2025-05-11;Arsenal;3;0;3;9;2;Liverpool;2;1;15;14;7;5;0.56;0.44;447;0.85;10;13;1;1;1;0;1;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;3;0.0314285714285714;0.2;380;0.0263157894736842;678.5714285714286;0.0666666666666666;1.7857142857142856;1;0.12;-2;1;-3;0.0335570469798657;0.1333333333333333;0.28;0.5;0;2;2;0;1;0;1;0;0.1333333333333333;0.2857142857142857;0.0044742729306487;7.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-07;Arsenal;0;0;0;9;19;PSG;4;2;19;11;4;6;0.55;0.45;355;0.79;11;11;4;2;0;0;6;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;2;0.0409090909090909;0.3636363636363636;280;0.0392857142857142;509.09090909090907;0.3157894736842105;10.909090909090908;8;0.1;4;2;0;0.0535211267605633;0.0526315789473684;0.55;6.0;0;1;1;0;0;1;1;0;0.0526315789473684;0.25;0.0028169014084507;19.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-05-03;Arsenal;3;0;3;9;59;Bournemouth;0;2;13;9;4;2;0.51;0.49;427;0.85;7;16;0;2;0;0;2;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;3;0.0544444444444444;0.0;363;0.0192837465564738;711.7647058823529;0.1538461538461538;3.92156862745098;4;0.02;-1;-2;-9;0.0304449648711943;0.0769230769230769;0.51;2.0;1;0;1;0;0;1;0;1;0.0769230769230769;0.25;0.0023419203747072;13.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-29;Arsenal;0;0;0;9;19;PSG;2;2;10;11;5;4;0.47;0.53;389;0.83;15;15;2;2;0;0;3;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1;0.0481818181818181;0.1333333333333333;323;0.0464396284829721;687.2340425531916;0.3;6.382978723404256;-1;-0.06;2;0;0;0.0257069408740359;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-23;Arsenal;3;0;17;9;65;Crystal Palace;1;1;12;15;6;4;0.68;0.32;711;0.92;4;6;1;1;0;0;3;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;6;0.0213333333333333;0.25;654;0.0061162079510703;961.7647058823528;0.25;4.411764705882352;-3;0.36;-3;0;-2;0.0168776371308016;0.1666666666666666;0.34;1.5;2;0;2;0;1;0;0;1;0.1666666666666666;0.3333333333333333;0.0028129395218002;6.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-20;Arsenal;3;0;8;9;66;Ipswich;0;1;24;4;7;0;0.75;0.25;752;0.91;7;10;0;0;0;1;12;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0;0.0625;0.0;684;0.0102339181286549;912.0;0.5;16.0;20;0.5;12;-1;-3;0.0319148936170212;0.1666666666666666;0.1875;3.0;2;2;4;1;0;0;1;0;0.1666666666666666;0.5714285714285714;0.0053191489361702;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-16;Arsenal;0;0;3;9;12;Real Madrid;2;3;12;18;6;3;0.33;0.67;233;0.76;15;18;2;3;0;0;4;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;10;0.0372222222222222;0.1333333333333333;177;0.0847457627118644;536.3636363636364;0.3333333333333333;12.12121212121212;-6;-0.34;-6;-1;-3;0.0515021459227467;0.1666666666666666;0.165;2.0;0;2;2;1;0;0;1;0;0.1666666666666666;0.3333333333333333;0.0085836909871244;6.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;Arsenal;3;0;1;9;57;Brentford;1;3;14;3;3;2;0.64;0.36;480;0.87;7;9;1;3;0;0;13;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;5;0.12;0.1428571428571428;418;0.0167464114832535;653.125;0.9285714285714286;20.3125;11;0.28;8;-2;-2;0.0291666666666666;0.0714285714285714;0.64;13.0;0;1;1;0;1;0;0;1;0.0714285714285714;0.3333333333333333;0.0020833333333333;14.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-08;Arsenal;0;0;1;9;12;Real Madrid;1;1;12;9;11;3;0.54;0.46;489;0.89;8;9;1;0;0;1;5;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;3;0.0511111111111111;0.125;435;0.0183908045977011;805.5555555555555;0.4166666666666667;9.25925925925926;3;0.08;2;0;-1;0.0245398773006134;0.25;0.18;1.6666666666666667;0;3;3;1;0;0;0;1;0.25;0.2727272727272727;0.0061349693251533;4.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Arsenal;3;0;3;9;64;Everton;1;3;14;5;5;2;0.71;0.29;459;0.86;13;17;1;3;0;0;8;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;3;0.0579999999999999;0.0769230769230769;395;0.0329113924050632;556.3380281690141;0.5714285714285714;11.267605633802818;9;0.42;5;-2;-4;0.0305010893246187;0.0714285714285714;0.71;8.0;1;0;1;0;1;0;1;0;0.0714285714285714;0.2;0.0021786492374727;14.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-01;Arsenal;3;0;17;9;58;Fulham;1;3;17;9;4;3;0.51;0.49;479;0.89;2;10;1;3;0;0;5;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;4;0.0544444444444444;0.5;426;0.0046948356807511;835.2941176470588;0.2941176470588235;9.803921568627452;8;0.02;1;-2;-8;0.0354906054279749;0.1176470588235294;0.255;2.5;1;1;2;1;0;0;0;1;0.1176470588235294;0.5;0.0041753653444676;8.5;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Arsenal;3;0;3;9;53;Chelsea;3;3;12;8;4;2;0.4;0.6;348;0.84;10;13;3;3;0;0;5;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;4;0.075;0.3;292;0.0342465753424657;730.0;0.4166666666666667;12.5;4;-0.1999999999999999;1;0;-3;0.0344827586206896;0.0833333333333333;0.4;5.0;1;0;1;1;0;0;0;1;0.0833333333333333;0.25;0.0028735632183908;12.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-12;Arsenal;0;0;0;9;28;PSV;3;1;9;13;7;5;0.52;0.48;485;0.87;9;9;3;1;0;0;5;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;4;0.0369230769230769;0.3333333333333333;422;0.0213270142180094;811.5384615384615;0.5555555555555556;9.615384615384617;-4;0.04;1;2;0;0.0185567010309278;0.2222222222222222;0.26;2.5;2;0;2;0;1;0;0;1;0.2222222222222222;0.2857142857142857;0.0041237113402061;4.5;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Arsenal;3;0;17;9;62;Manchester United;1;0;17;10;6;6;0.69;0.31;587;0.89;11;8;1;0;0;0;9;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;2;0.031;0.0909090909090909;522;0.0210727969348659;756.5217391304349;0.5294117647058824;13.043478260869566;7;0.3799999999999999;7;1;3;0.0289608177172061;0.0588235294117647;0.69;9.0;0;1;1;0;1;0;1;0;0.0588235294117647;0.1666666666666666;0.0017035775127768;17.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-04;Arsenal;0;0;3;9;28;PSV;3;1;15;12;8;2;0.46;0.54;400;0.82;10;9;3;1;0;0;3;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;5;0.045;0.3;328;0.0304878048780487;713.0434782608695;0.2;6.521739130434782;3;-0.08;-2;2;1;0.0375;0.4666666666666667;0.0657142857142857;0.4285714285714285;3;4;7;1;0;0;1;0;0.4666666666666667;0.875;0.0175;2.142857142857143;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Arsenal;3;0;3;9;55;Nottingham Forest;1;1;13;6;1;2;0.66;0.34;502;0.87;17;10;1;1;0;0;11;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;3;0.0566666666666666;0.0588235294117647;437;0.0389016018306636;662.1212121212121;0.8461538461538461;16.666666666666664;7;0.32;8;0;7;0.0258964143426294;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Arsenal;3;0;4;9;61;West Ham;2;3;20;5;2;2;0.68;0.32;642;0.89;16;15;1;3;1;0;2;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0;0.064;0.125;571;0.0280210157618213;839.7058823529411;0.1;2.941176470588235;15;0.36;2;-1;1;0.0311526479750778;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-05;Arsenal;14;0;9;9;60;Newcastle;3;2;11;10;3;3;0.69;0.31;423;0.82;12;12;3;2;0;0;13;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1;0.031;0.25;347;0.0345821325648415;502.89855072463774;1.181818181818182;18.84057971014493;1;0.3799999999999999;12;1;0;0.0260047281323877;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Arsenal;3;0;3;9;3;Manchester City;2;0;12;7;7;4;0.45;0.55;398;0.87;6;7;2;0;0;0;5;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;2;0.0785714285714285;0.3333333333333333;346;0.0173410404624277;768.8888888888889;0.4166666666666667;11.11111111111111;5;-0.1;3;2;-1;0.0301507537688442;0.4166666666666667;0.09;1.0;1;4;5;1;0;0;0;1;0.4166666666666667;0.7142857142857143;0.0125628140703517;2.4;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Arsenal;0;0;3;9;24;Girona;2;4;16;7;6;3;0.61;0.39;474;0.85;13;13;2;4;0;0;13;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3;0.0557142857142857;0.1538461538461538;403;0.032258064516129;660.655737704918;0.8125;21.311475409836067;9;0.2199999999999999;10;-2;0;0.0337552742616033;0.125;0.305;6.5;2;0;2;1;0;0;1;0;0.125;0.3333333333333333;0.0042194092827004;8.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;Arsenal;3;0;17;9;67;Wolves;2;1;9;9;3;4;0.48;0.52;397;0.82;10;20;1;0;1;1;5;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1;0.0577777777777777;0.2;326;0.0306748466257668;679.1666666666667;0.5555555555555556;10.416666666666668;0;-0.04;4;1;-10;0.0226700251889168;0.1111111111111111;0.48;5.0;0;1;1;1;0;0;1;0;0.1111111111111111;0.3333333333333333;0.0025188916876574;9.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-22;Arsenal;0;0;9;9;22;Dinamo Zagreb;2;2;17;5;4;0;0.63;0.37;526;0.9;9;7;2;2;0;0;11;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;3;0.074;0.2222222222222222;473;0.0190274841437632;750.7936507936508;0.6470588235294118;17.46031746031746;12;0.26;8;0;2;0.0323193916349809;0.1764705882352941;0.21;3.6666666666666665;1;2;3;1;0;0;0;1;0.1764705882352941;0.75;0.0057034220532319;5.666666666666667;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Arsenal;3;0;3;9;1;Aston Villa;2;3;18;8;6;4;0.66;0.34;483;0.88;10;18;2;3;0;0;10;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1;0.0425;0.2;425;0.0235294117647058;643.9393939393939;0.5555555555555556;15.15151515151515;10;0.32;9;-1;-8;0.0372670807453416;0.1111111111111111;0.33;5.0;1;1;2;0;1;0;0;1;0.1111111111111111;0.3333333333333333;0.0041407867494824;9.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;Arsenal;3;0;0;9;56;Tottenham;3;1;14;10;4;2;0.54;0.46;426;0.83;16;9;3;1;0;0;10;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;4;0.046;0.1875;354;0.0451977401129943;655.5555555555555;0.7142857142857143;18.51851851851852;4;0.08;6;2;7;0.0328638497652582;0.1428571428571428;0.27;5.0;2;0;2;1;0;0;0;1;0.1428571428571428;0.5;0.0046948356807511;7.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;Arsenal;15;0;17;9;62;Manchester United;2;5;26;7;7;4;0.71;0.29;657;0.87;10;25;2;4;0;1;12;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2;0.0414285714285714;0.2;572;0.0174825174825174;805.6338028169015;0.4615384615384615;16.901408450704228;19;0.42;10;-3;-15;0.0395738203957382;0.0384615384615384;0.71;12.0;0;1;1;0;1;0;0;1;0.0384615384615384;0.1428571428571428;0.0015220700152207;26.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-07;Arsenal;14;0;0;9;60;Newcastle;1;3;23;7;3;4;0.7;0.3;572;0.87;6;12;1;3;0;0;11;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1;0.0428571428571428;0.1666666666666666;498;0.0120481927710843;711.4285714285714;0.4782608695652174;15.714285714285715;16;0.3999999999999999;10;-2;-6;0.0402097902097902;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Arsenal;3;0;3;9;54;Brighton;3;2;9;11;3;4;0.56;0.44;519;0.87;14;17;3;2;0;0;5;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;2;0.04;0.2142857142857142;452;0.0309734513274336;807.1428571428571;0.5555555555555556;8.928571428571427;-2;0.12;3;1;-3;0.0173410404624277;0.1111111111111111;0.56;5.0;1;0;1;0;1;0;1;0;0.1111111111111111;0.3333333333333333;0.001926782273603;9.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-01;Arsenal;3;0;28;9;57;Brentford;2;1;14;5;5;2;0.49;0.51;465;0.83;8;6;2;1;0;0;3;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;4;0.102;0.25;386;0.0207253886010362;787.7551020408164;0.2142857142857142;6.122448979591836;9;-0.02;-1;1;2;0.0301075268817204;0.2142857142857142;0.1633333333333333;1.0;1;2;3;1;0;0;1;0;0.2142857142857142;0.6;0.0064516129032258;4.666666666666667;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
