Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Paulo Gazzaniga-Girona;Alejandro Francés-Girona;Ladislav Krejčí-Girona;Daley Blind-Girona;Miguel Gutiérrez Ortega-Girona;Iván Martín Núñez-Girona;Arthur Melo-Girona;Viktor Tsygankov-Girona;Yangel Herrera-Girona;Arnaut Danjuma-Girona;Yáser Asprilla-Girona;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Arnau Martínez-Girona;David López Silva-Girona;Oriol Romeu-Girona;Abel Ruiz-Girona;Donny van de Beek-Girona;Bojan Miovski-Girona;Bryan Gil-Girona;Juanpe Ramírez-Girona;Pau López-Girona;Antal Yaakobishvili-Girona;Jhon Elmer Solís-Girona;Selvi Clua-Girona;Cristian Portugués-Girona;Kim Min-su-Girona;Christian Stuani-Girona;Juan Carlos Martín Corral-Girona;Gabriel Misehouy-Girona;Toni Villa-Girona;Eric García-Girona;Aleix García Serrano-Girona;Artem Dovbyk-Girona;Savinho-Girona;Yan Couto-Girona;Pablo Torre-Girona;Valery Fernández Estrada-Girona;Toni Fuidias-Girona;Bernardo Espinosa-Girona;Iker Almena-Girona;Ibrahima Kebe-Girona;Rodrigo Riquelme Reche-Girona;Valentín Mariano Castellanos-Girona;Reinier Jesus-Girona;Santiago Bueno-Girona;Javier Hernández Carrera-Girona;Borja García Freire-Girona;Ramón Terrats Espacio-Girona
2025-04-21;Girona;1;3;3;24;39;Betis;3;2;11;17;5;9;0.61;0.39;500;0.88;13;11;3;2;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.022941176470588236;0.23076923076923078;440;0.029545454545454545;721.3114754098361;0.7272727272727273;13.114754098360656;-6;0.21999999999999997;-1;1;2;0.022;0.09090909090909091;0.61;8.0;0;1;1;0;0;1;0;1;0.09090909090909091;0.2;0.002;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Girona;1;3;4;24;41;Osasuna;1;2;18;13;8;6;0.69;0.31;572;0.89;15;17;1;2;0;0;4;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;4;0.023846153846153847;0.06666666666666667;509;0.029469548133595286;737.6811594202899;0.2222222222222222;5.797101449275363;5;0.37999999999999995;0;-1;-2;0.03146853146853147;0.05555555555555555;0.69;4.0;0;1;1;0;0;1;1;0;0.05555555555555555;0.125;0.0017482517482517483;18.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Girona;1;3;3;24;45;Alavés;1;5;16;9;1;4;0.64;0.36;478;0.88;8;25;1;5;0;0;5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;3;0.04;0.125;421;0.019002375296912115;657.8125;0.3125;7.8125;7;0.28;2;-4;-17;0.03347280334728033;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Girona;1;1;3;24;10;Barcelona;1;0;4;21;2;9;0.3;0.7;278;0.74;11;8;1;0;0;0;2;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;10;0.03333333333333333;0.09090909090909091;206;0.05339805825242718;686.6666666666667;0.5;6.666666666666667;-17;-0.39999999999999997;-8;1;3;0.014388489208633094;0.25;0.3;2.0;0;1;1;0;0;1;1;0;0.25;0.5;0.0035971223021582736;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Girona;1;3;9;24;52;Valencia C. F.;2;1;14;12;4;2;0.57;0.43;515;0.85;12;5;2;1;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;4;0.035833333333333335;0.16666666666666666;438;0.0273972602739726;768.421052631579;0.6428571428571429;15.789473684210527;2;0.13999999999999996;5;1;7;0.027184466019417475;0.07142857142857142;0.57;9.0;0;1;1;0;1;0;0;1;0.07142857142857142;0.25;0.001941747572815534;14.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-10;Girona;1;0;20;24;49;RCD Espanyol;3;3;18;7;4;4;0.67;0.33;578;0.9;13;11;3;3;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;0.047142857142857146;0.23076923076923078;520;0.025;776.1194029850745;0.5;13.432835820895521;11;0.34;5;0;2;0.031141868512110725;0.05555555555555555;0.67;9.0;0;1;1;0;1;0;1;0;0.05555555555555555;0.25;0.0017301038062283738;18.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Girona;1;17;17;24;44;Celta de Vigo;0;0;9;10;6;6;0.51;0.49;474;0.87;8;17;0;0;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2;0.049;0.0;412;0.019417475728155338;807.843137254902;0.4444444444444444;7.8431372549019605;-1;0.020000000000000018;2;0;-9;0.0189873417721519;0.2222222222222222;0.255;2.0;1;1;2;0;1;0;0;1;0.2222222222222222;0.3333333333333333;0.004219409282700422;4.5;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Girona;1;29;13;24;12;Real Madrid;2;0;6;22;2;5;0.36;0.64;385;0.9;7;1;2;0;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;11;0.02909090909090909;0.2857142857142857;346;0.02023121387283237;961.1111111111112;0.8333333333333334;13.88888888888889;-16;-0.28;-6;2;6;0.015584415584415584;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Girona;1;3;3;24;38;Athletic;4;0;3;23;1;8;0.56;0.44;521;0.87;12;7;4;0;0;0;2;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;11;0.019130434782608695;0.3333333333333333;453;0.026490066225165563;808.9285714285713;0.6666666666666666;3.571428571428571;-20;0.12000000000000005;-9;4;5;0.005758157389635317;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-03;Girona;1;3;3;24;50;U. D. Las Palmas;2;3;12;10;4;2;0.46;0.54;426;0.86;12;12;2;3;0;0;11;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;3;0.054000000000000006;0.16666666666666666;366;0.03278688524590164;795.6521739130435;0.9166666666666666;23.913043478260867;2;-0.08000000000000002;8;-1;0;0.028169014084507043;0.16666666666666666;0.23;5.5;1;1;2;1;0;0;0;1;0.16666666666666666;0.5;0.004694835680751174;6.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Girona;0;3;0;24;9;Arsenal;4;2;7;16;3;6;0.39;0.61;311;0.83;13;13;4;2;0;0;3;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;13;0.038125;0.3076923076923077;258;0.050387596899224806;661.5384615384615;0.42857142857142855;7.692307692307692;-9;-0.21999999999999997;-10;2;0;0.022508038585209004;0.14285714285714285;0.39;3.0;1;0;1;0;0;1;0;1;0.14285714285714285;0.3333333333333333;0.003215434083601286;7.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-26;Girona;1;3;3;24;42;Rayo Vallecano;1;3;12;17;5;7;0.42;0.58;400;0.77;9;19;1;3;0;0;1;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;4;0.03411764705882353;0.1111111111111111;308;0.02922077922077922;733.3333333333334;0.08333333333333333;2.380952380952381;-5;-0.15999999999999998;-3;-2;-10;0.03;0.08333333333333333;0.42;1.0;0;1;1;0;0;1;1;0;0.08333333333333333;0.2;0.0025;12.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-22;Girona;0;3;3;24;25;Milan;2;2;11;17;4;5;0.58;0.42;536;0.89;18;12;2;2;0;0;3;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;6;0.024705882352941175;0.1111111111111111;477;0.03773584905660377;822.4137931034484;0.2727272727272727;5.172413793103448;-6;0.15999999999999998;-3;0;6;0.020522388059701493;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;Girona;1;3;3;24;43;Sevilla;0;4;7;14;4;6;0.61;0.39;530;0.84;6;15;0;4;0;0;7;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;4;0.027857142857142858;0.0;445;0.01348314606741573;729.5081967213115;1.0;11.475409836065573;-7;0.21999999999999997;3;-4;-9;0.013207547169811321;0.14285714285714285;0.61;7.0;1;0;1;0;0;1;0;1;0.14285714285714285;0.25;0.0018867924528301887;7.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Girona;1;8;1;24;45;Alavés;4;1;3;11;1;2;0.57;0.43;468;0.85;11;16;4;1;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;6;0.03909090909090909;0.36363636363636365;398;0.02763819095477387;698.2456140350878;1.0;5.2631578947368425;-8;0.13999999999999996;-3;3;-5;0.00641025641025641;0.3333333333333333;0.57;3.0;0;1;1;1;0;0;1;0;0.3333333333333333;1.0;0.002136752136752137;3.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-20;Girona;1;6;4;24;51;Valladolid;3;1;23;1;7;1;0.71;0.29;720;0.91;13;7;3;1;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1;0.29;0.23076923076923078;655;0.01984732824427481;922.5352112676056;0.391304347826087;12.67605633802817;22;0.42;8;2;6;0.03194444444444444;0.13043478260869565;0.23666666666666666;3.0;2;1;3;1;0;0;0;1;0.13043478260869565;0.42857142857142855;0.004166666666666667;7.666666666666667;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-14;Girona;1;23;1;24;40;R.C.D. Mallorca;2;6;13;8;1;2;0.69;0.31;625;0.92;14;10;2;5;0;1;4;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;2;0.03875;0.14285714285714285;575;0.02434782608695652;833.3333333333334;0.3076923076923077;5.797101449275363;5;0.37999999999999995;2;-4;4;0.0208;0.07692307692307693;0.69;4.0;1;0;1;0;0;1;1;0;0.07692307692307693;1.0;0.0016;13.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-10;Girona;0;3;0;24;2;Liverpool;3;2;13;15;5;7;0.37;0.63;363;0.83;11;8;3;2;0;0;5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;8;0.042;0.2727272727272727;301;0.036544850498338874;813.5135135135135;0.38461538461538464;13.513513513513514;-2;-0.26;-3;1;3;0.03581267217630854;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Girona;1;3;3;24;12;Real Madrid;3;2;10;10;4;7;0.41;0.59;468;0.89;6;7;3;2;0;0;6;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3;0.059;0.5;417;0.014388489208633094;1017.0731707317074;0.6;14.634146341463415;0;-0.18;3;1;-1;0.021367521367521368;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-04;Girona;19;17;7;24;-1;UD Logroñés;2;4;17;9;2;1;0.59;0.41;677;0.87;15;16;2;4;0;0;7;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1;0.04555555555555555;0.13333333333333333;589;0.025466893039049237;998.3050847457628;0.4117647058823529;11.864406779661017;8;0.18;6;-2;-1;0.025110782865583457;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-01;Girona;1;3;1;24;37;Villarreal;6;2;13;13;6;4;0.65;0.35;665;0.92;13;8;6;2;0;0;5;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1;0.02692307692307692;0.46153846153846156;612;0.021241830065359478;941.5384615384615;0.38461538461538464;7.692307692307692;0;0.30000000000000004;4;4;5;0.019548872180451128;0.15384615384615385;0.325;2.5;0;2;2;0;1;0;1;0;0.15384615384615385;0.3333333333333333;0.0030075187969924814;6.5;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-27;Girona;0;0;13;24;32;Sturm;1;1;9;9;1;5;0.7;0.3;661;0.88;16;11;1;1;0;0;10;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1;0.03333333333333333;0.0625;582;0.027491408934707903;831.4285714285714;1.1111111111111112;14.285714285714286;0;0.39999999999999997;9;0;5;0.01361573373676248;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-23;Girona;1;3;9;24;49;RCD Espanyol;0;3;12;9;5;1;0.76;0.24;774;0.9;4;19;0;3;0;0;6;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3;0.026666666666666665;0.0;697;0.005738880918220947;917.1052631578947;0.5;7.894736842105263;3;0.52;3;-3;-15;0.015503875968992248;0.3333333333333333;0.19;1.5;4;0;4;1;0;0;0;1;0.3333333333333333;0.8;0.00516795865633075;3.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-10;Girona;1;3;3;24;48;Getafe;3;3;3;8;2;0;0.54;0.46;472;0.8;16;25;3;3;0;0;2;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;5;0.0575;0.1875;378;0.042328042328042326;700.0;0.6666666666666666;3.7037037037037033;-5;0.08000000000000002;-3;0;-9;0.006355932203389831;0.3333333333333333;0.54;2.0;1;0;1;1;0;0;1;0;0.3333333333333333;0.5;0.00211864406779661;3.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-11-05;Girona;0;13;0;24;28;PSV;4;4;7;25;3;12;0.37;0.63;351;0.82;10;11;3;4;1;0;3;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;7;0.0252;0.4;288;0.034722222222222224;778.3783783783784;0.42857142857142855;8.108108108108109;-18;-0.26;-4;0;-1;0.019943019943019943;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
