Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Ederson Moraes-Manchester City;Rico Lewis-Manchester City;Rúben Dias-Manchester City;Joško Gvardiol-Manchester City;Nico O'Reilly-Manchester City;Mateo Kovačić-Manchester City;Nico González-Manchester City;James McAtee-Manchester City;İlkay Gündoğan-Manchester City;Omar Marmoush-Manchester City;Kevin De Bruyne-Manchester City;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Matheus Nunes-Manchester City;Bernardo Silva-Manchester City;Phil Foden-Manchester City;Savinho-Manchester City;Jack Grealish-Manchester City;Jérémy Doku-Manchester City;Abdukodir Khusanov-Manchester City;Erling Haaland-Manchester City;Stefan Ortega-Manchester City;Vitor Reis-Manchester City;Nathan Aké-Manchester City;John Stones-Manchester City;Manuel Akanji-Manchester City;Jahmai Simpson-Pusey-Manchester City;Divin Mubama-Manchester City;Kyle Walker-Manchester City;Kaden Braithwaite-Manchester City;Rodrigo Hernández Cascante-Manchester City;Oscar Bobb-Manchester City;Kalvin Phillips-Manchester City;Josh Wilson-Esbrand-Manchester City;Mahamadou Susoho-Manchester City;Callum Doyle-Manchester City;Máximo Perrone-Manchester City;Luke Mbete-Manchester City;Julián Álvarez-Manchester City;Sergio Gómez Martín-Manchester City;Micah Hamilton-Manchester City;Cole Palmer-Manchester City;Aymeric Laporte-Manchester City;Riyad Mahrez-Manchester City
2025-04-12;Manchester City;3;3;17;3;65;Crystal Palace;2;3;21;8;9;3;0.68;0.32;741;0.9;10;16;2;3;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.04;0.2;667;0.0149925037481259;980.8823529411764;0.0476190476190476;1.4705882352941175;13;0.36;-3;-1;-6;0.0283400809716599;0.238095238095238;0.136;0.2;2;3;5;1;0;0;0;1;0.238095238095238;0.5555555555555556;0.0067476383265856;4.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;Manchester City;3;22;17;3;62;Manchester United;2;3;9;13;5;2;0.59;0.41;564;0.88;9;13;2;3;0;0;3;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;5;0.0315384615384615;0.2222222222222222;496;0.0181451612903225;840.677966101695;0.3333333333333333;5.084745762711865;-4;0.18;-2;-1;-4;0.0159574468085106;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;Manchester City;3;3;17;3;63;Leicester City;1;4;18;2;5;0;0.72;0.28;784;0.93;11;8;1;4;0;0;5;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0;0.14;0.0909090909090909;729;0.0150891632373113;1012.5;0.2777777777777778;6.944444444444445;16;0.4399999999999999;5;-3;3;0.0229591836734693;0.1111111111111111;0.36;2.5;2;0;2;1;0;0;0;1;0.1111111111111111;0.4;0.0025510204081632;9.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Manchester City;15;0;3;3;59;Bournemouth;3;3;17;5;7;2;0.64;0.36;516;0.81;12;14;3;3;0;0;4;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;2;0.072;0.25;418;0.0287081339712918;653.125;0.2352941176470588;6.25;12;0.28;2;0;-2;0.0329457364341085;0.1176470588235294;0.32;2.0;0;2;2;1;0;0;1;0;0.1176470588235294;0.2857142857142857;0.003875968992248;8.5;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Manchester City;3;3;3;3;54;Brighton;2;5;11;15;3;3;0.61;0.39;502;0.83;10;10;2;5;0;0;4;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;5;0.026;0.2;417;0.0239808153477218;683.6065573770492;0.3636363636363636;6.557377049180328;-4;0.2199999999999999;-1;-3;0;0.0219123505976095;0.1818181818181818;0.305;2.0;2;0;2;0;1;0;0;1;0.1818181818181818;0.6666666666666666;0.0039840637450199;5.5;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;Manchester City;3;7;3;3;55;Nottingham Forest;2;3;14;9;3;4;0.7;0.3;609;0.89;7;9;2;3;0;0;2;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3;0.0333333333333333;0.2857142857142857;542;0.0129151291512915;774.2857142857143;0.1428571428571428;2.857142857142857;5;0.3999999999999999;-1;-1;-2;0.0229885057471264;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Manchester City;15;7;9;3;836;Plymouth Argyle;0;0;29;1;9;1;0.73;0.27;679;0.89;5;7;0;0;0;0;20;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1;0.27;0.0;604;0.0082781456953642;827.3972602739726;0.6896551724137931;27.3972602739726;28;0.4599999999999999;19;0;-2;0.0427098674521354;0.1034482758620689;0.2433333333333333;6.666666666666667;1;2;3;1;0;0;0;1;0.1034482758620689;0.3333333333333333;0.0044182621502209;9.666666666666666;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;Manchester City;3;3;0;3;56;Tottenham;0;3;12;11;5;6;0.44;0.56;416;0.87;15;12;0;3;0;0;3;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;8;0.0509090909090909;0.0;362;0.0414364640883977;822.7272727272727;0.25;6.818181818181818;1;-0.12;-5;-3;3;0.0288461538461538;0.0833333333333333;0.44;3.0;1;0;1;1;0;0;1;0;0.0833333333333333;0.2;0.0024038461538461;12.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Manchester City;3;7;13;3;2;Liverpool;0;0;16;8;5;4;0.67;0.33;659;0.91;3;10;0;0;0;0;7;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;5;0.04125;0.0;600;0.005;895.5223880597015;0.4375;10.44776119402985;8;0.34;2;0;-7;0.0242792109256449;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-19;Manchester City;0;22;1;3;12;Real Madrid;2;1;12;15;4;8;0.52;0.48;528;0.9;9;9;2;1;0;0;5;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;7;0.032;0.2222222222222222;475;0.0189473684210526;913.4615384615385;0.4166666666666667;9.615384615384617;-3;0.04;-2;1;0;0.0227272727272727;0.0833333333333333;0.52;5.0;0;1;1;0;0;1;1;0;0.0833333333333333;0.25;0.0018939393939393;12.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-15;Manchester City;3;3;0;3;60;Newcastle;0;1;11;3;7;1;0.62;0.38;590;0.92;5;13;0;1;0;0;7;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;4;0.1266666666666666;0.0;543;0.009208103130755;875.8064516129033;0.6363636363636364;11.290322580645162;8;0.24;3;-1;-8;0.0186440677966101;0.3636363636363636;0.155;1.75;3;1;4;1;0;0;0;1;0.3636363636363636;0.5714285714285714;0.0067796610169491;2.75;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-11;Manchester City;0;7;1;3;12;Real Madrid;0;0;11;20;4;8;0.55;0.45;497;0.9;9;6;0;0;0;0;6;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5;0.0225;0.0;447;0.0201342281879194;812.7272727272726;0.5454545454545454;10.909090909090908;-9;0.1;1;0;3;0.0221327967806841;0.1818181818181818;0.275;3.0;1;1;2;0;0;1;0;1;0.1818181818181818;0.5;0.0040241448692152;5.5;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;Manchester City;15;3;3;3;262;Leyton Orient F.C.;1;2;24;13;10;3;0.74;0.26;580;0.88;5;10;1;2;0;0;10;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;2;0.02;0.2;510;0.0098039215686274;689.1891891891892;0.4166666666666667;13.513513513513514;11;0.48;8;-1;-5;0.0413793103448275;0.0833333333333333;0.37;5.0;0;2;2;1;0;0;1;0;0.0833333333333333;0.2;0.0034482758620689;12.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-02;Manchester City;3;3;0;3;9;Arsenal;0;2;7;12;4;7;0.55;0.45;474;0.89;7;6;0;2;0;0;2;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;5;0.0375;0.0;422;0.0165876777251184;767.2727272727273;0.2857142857142857;3.636363636363636;-5;0.1;-3;-2;1;0.0147679324894514;0.1428571428571428;0.55;2.0;0;1;1;0;0;1;1;0;0.1428571428571428;0.25;0.0021097046413502;7.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;Manchester City;0;3;3;3;26;Club Brujas;0;0;17;12;6;5;0.74;0.26;815;0.95;2;3;0;0;0;0;5;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1;0.0216666666666666;0.0;774;0.0025839793281653;1045.945945945946;0.2941176470588235;6.756756756756757;5;0.48;4;0;-1;0.0208588957055214;0.1764705882352941;0.2466666666666666;1.6666666666666667;0;3;3;1;0;0;0;1;0.1764705882352941;0.5;0.003680981595092;5.666666666666667;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-22;Manchester City;0;3;0;3;19;PSG;1;1;9;26;6;9;0.36;0.64;356;0.82;10;10;1;1;0;0;6;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;11;0.0246153846153846;0.1;292;0.0342465753424657;811.1111111111111;0.6666666666666666;16.666666666666668;-17;-0.28;-5;0;0;0.0252808988764044;0.2222222222222222;0.18;3.0;0;2;2;0;0;1;1;0;0.2222222222222222;0.3333333333333333;0.0056179775280898;4.5;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-19;Manchester City;3;3;9;3;66;Ipswich;1;0;17;8;9;4;0.68;0.32;747;0.91;7;4;1;0;0;0;7;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;4;0.04;0.1428571428571428;680;0.0102941176470588;1000.0;0.4117647058823529;10.294117647058822;9;0.36;3;1;3;0.0227576974564926;0.3529411764705882;0.1133333333333333;1.1666666666666667;3;3;6;1;0;0;1;0;0.3529411764705882;0.6666666666666666;0.0080321285140562;2.833333333333333;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-14;Manchester City;3;3;0;3;57;Brentford;0;0;21;18;8;6;0.56;0.44;519;0.86;4;4;0;0;0;0;5;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;4;0.0244444444444444;0.0;446;0.0089686098654708;796.4285714285713;0.238095238095238;8.928571428571427;3;0.12;1;0;0;0.0404624277456647;0.0952380952380952;0.28;2.5;0;2;2;0;1;0;1;0;0.0952380952380952;0.25;0.0038535645472061;10.5;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-11;Manchester City;15;17;30;3;-1;Salford;0;2;20;10;10;2;0.69;0.31;517;0.88;7;11;0;2;0;0;6;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2;0.031;0.0;455;0.0153846153846153;659.4202898550725;0.3;8.695652173913045;10;0.3799999999999999;4;-2;-4;0.0386847195357833;0.4;0.08625;0.75;3;5;8;1;0;0;0;1;0.4;0.8;0.0154738878143133;2.5;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-04;Manchester City;3;7;3;3;61;West Ham;2;1;10;17;7;4;0.56;0.44;556;0.89;8;13;2;1;0;0;7;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1;0.0258823529411764;0.25;495;0.0161616161616161;883.9285714285713;0.7;12.499999999999998;-7;0.12;6;1;-5;0.0179856115107913;0.4;0.14;1.75;2;2;4;1;0;0;0;1;0.4;0.5714285714285714;0.0071942446043165;2.5;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-29;Manchester City;3;7;3;3;63;Leicester City;1;2;14;11;5;4;0.46;0.54;505;0.91;6;11;1;2;0;0;4;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;4;0.049090909090909;0.1666666666666666;460;0.0130434782608695;1000.0;0.2857142857142857;8.695652173913043;3;-0.08;0;-1;-5;0.0277227722772277;0.1428571428571428;0.23;2.0;1;1;2;1;0;0;1;0;0.1428571428571428;0.4;0.0039603960396039;7.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-26;Manchester City;3;7;0;3;64;Everton;1;4;24;8;5;3;0.67;0.33;645;0.9;5;10;1;4;0;0;8;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;5;0.04125;0.2;580;0.0086206896551724;865.6716417910447;0.3333333333333333;11.940298507462686;16;0.34;3;-3;-5;0.0372093023255813;0.0416666666666666;0.67;8.0;1;0;1;0;1;0;0;1;0.0416666666666666;0.2;0.0015503875968992;24.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-21;Manchester City;3;3;3;3;1;Aston Villa;3;3;12;11;6;6;0.57;0.43;537;0.92;7;14;3;3;0;0;4;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;5;0.039090909090909;0.4285714285714285;494;0.0141700404858299;866.6666666666667;0.3333333333333333;7.017543859649123;1;0.1399999999999999;-1;0;-7;0.0223463687150838;0.0833333333333333;0.57;4.0;0;1;1;0;0;1;1;0;0.0833333333333333;0.1666666666666666;0.0018621973929236;12.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;Manchester City;3;7;6;3;62;Manchester United;1;1;10;10;3;3;0.52;0.48;498;0.86;5;14;1;1;0;0;8;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2;0.048;0.2;428;0.0116822429906542;823.0769230769231;0.8;15.384615384615383;0;0.04;6;0;-9;0.0200803212851405;0.1;0.52;8.0;1;0;1;0;0;1;0;1;0.1;0.3333333333333333;0.002008032128514;10.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-11;Manchester City;0;3;3;3;14;Juventus;2;1;12;10;3;5;0.69;0.31;699;0.93;7;8;2;1;0;0;6;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2;0.031;0.2857142857142857;650;0.0107692307692307;942.0289855072464;0.5;8.695652173913045;2;0.3799999999999999;4;1;-1;0.0171673819742489;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;Manchester City;3;3;17;3;65;Crystal Palace;1;1;12;12;4;3;0.69;0.31;719;0.88;10;4;0;1;1;0;8;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;6;0.0258333333333333;0.1;633;0.0157977883096366;917.391304347826;0.6666666666666666;11.594202898550726;0;0.3799999999999999;2;0;6;0.0166898470097357;0.1666666666666666;0.345;4.0;1;1;2;0;1;0;1;0;0.1666666666666666;0.5;0.0027816411682892;6.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
