Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Maarten Vandevoordt-RB Leipzig;Kosta Nedeljković-RB Leipzig;Lukas Klostermann-RB Leipzig;Castello Lukeba-RB Leipzig;David Raum-RB Leipzig;Kevin Kampl-RB Leipzig;Nicolas Seiwald-RB Leipzig;Amadou Haidara-RB Leipzig;Xavi Simons-RB Leipzig;Loïs Openda-RB Leipzig;Benjamin Šeško-RB Leipzig;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Lutsharel Geertruida-RB Leipzig;El Chadaille Bitshiabu-RB Leipzig;Bote Baku-RB Leipzig;Christoph Baumgartner-RB Leipzig;Péter Gulácsi-RB Leipzig;Arthur Vermeeren-RB Leipzig;Willi Orban-RB Leipzig;Antonio Nusa-RB Leipzig;Yussuf Poulsen-RB Leipzig;Benjamin Henrichs-RB Leipzig;Xaver Schlager-RB Leipzig;André Silva-RB Leipzig;Mohamed Simakan-RB Leipzig;Elif Elmas-RB Leipzig;Janis Blaswich-RB Leipzig;Dani Olmo-RB Leipzig;Emil Forsberg-RB Leipzig;Christopher Lenz-RB Leipzig;Fábio Carvalho-RB Leipzig;Timo Werner-RB Leipzig;Marcel Halstenberg-RB Leipzig;Konrad Laimer-RB Leipzig;Dominik Szoboszlai-RB Leipzig;Christopher Nkunku-RB Leipzig;Ørjan Nyland-RB Leipzig;Joško Gvardiol-RB Leipzig
2025-05-03;RB Leipzig;9;1;1;31;23;Bayern;3;1;8;20;6;6;0.37;0.63;364;0.75;9;6;3;1;0;0;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.0315;0.3333333333333333;273;0.03296703296703297;737.8378378378378;0.25;5.405405405405405;-12;-0.26;-5;2;3;0.02197802197802198;0.375;0.12333333333333334;0.6666666666666666;2;1;3;0;1;0;0;1;0.375;0.5;0.008241758241758242;2.6666666666666665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-26;RB Leipzig;9;23;17;31;87;Frankfurt;3;1;7;9;3;6;0.55;0.45;550;0.87;13;10;2;1;1;0;4;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;8;0.05;0.23076923076923078;478;0.027196652719665274;869.090909090909;0.5714285714285714;7.2727272727272725;-2;0.10000000000000003;-4;2;3;0.012727272727272728;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-19;RB Leipzig;9;1;6;31;177;KSV Holstein;1;2;10;14;4;3;0.61;0.39;540;0.81;5;9;1;2;0;0;9;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;7;0.027857142857142858;0.2;437;0.011441647597254004;716.3934426229508;0.9;14.754098360655737;-4;0.21999999999999997;2;-1;-4;0.018518518518518517;0.1;0.61;9.0;0;1;1;0;1;0;0;1;0.1;0.25;0.001851851851851852;10.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-11;RB Leipzig;9;13;29;31;175;Wolfsburg;3;2;16;17;5;6;0.53;0.47;464;0.82;13;14;3;2;0;0;5;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;8;0.02764705882352941;0.23076923076923078;380;0.034210526315789476;716.9811320754717;0.3125;9.433962264150942;-1;0.06000000000000005;-3;1;-1;0.034482758620689655;0.1875;0.17666666666666667;1.6666666666666667;2;1;3;1;0;0;1;0;0.1875;0.6;0.00646551724137931;5.333333333333333;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;RB Leipzig;9;13;3;31;97;Hoffenheim;0;4;16;9;5;5;0.67;0.33;604;0.88;10;12;0;3;0;1;8;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;2;0.03666666666666667;0.0;532;0.018796992481203006;794.0298507462686;0.5;11.940298507462686;7;0.34;6;-4;-2;0.026490066225165563;0.1875;0.22333333333333336;2.6666666666666665;2;1;3;1;0;0;0;1;0.1875;0.6;0.004966887417218543;5.333333333333333;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-02;RB Leipzig;23;1;4;31;18;Stuttgart;3;0;25;9;5;6;0.68;0.32;546;0.84;14;8;3;0;0;0;5;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;5;0.035555555555555556;0.21428571428571427;459;0.030501089324618737;675.0;0.2;7.352941176470588;16;0.36000000000000004;0;3;6;0.045787545787545784;0.04;0.68;5.0;0;1;1;0;0;1;1;0;0.04;0.2;0.0018315018315018315;25.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;RB Leipzig;9;2;3;31;172;Mönchengladbach;2;2;19;16;3;3;0.61;0.39;537;0.83;9;5;2;2;0;0;8;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;5;0.024375;0.2222222222222222;446;0.020179372197309416;731.1475409836065;0.42105263157894735;13.114754098360656;3;0.21999999999999997;3;0;4;0.035381750465549346;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;RB Leipzig;9;17;3;31;11;Dortmund;3;3;15;25;5;9;0.33;0.67;300;0.68;14;10;3;3;0;0;3;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;12;0.0268;0.21428571428571427;204;0.06862745098039216;618.1818181818181;0.2;9.09090909090909;-10;-0.34;-9;0;4;0.05;0.13333333333333333;0.165;1.5;1;1;2;1;0;0;0;1;0.13333333333333333;0.4;0.006666666666666667;7.5;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-08;RB Leipzig;9;1;3;31;170;Friburgo;3;0;18;10;3;2;0.47;0.53;420;0.81;11;6;3;0;0;0;6;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;2;0.053000000000000005;0.2727272727272727;340;0.03235294117647059;723.404255319149;0.3333333333333333;12.765957446808512;8;-0.06000000000000005;4;3;5;0.04285714285714286;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;RB Leipzig;9;29;17;31;174;Mainz 05;1;1;13;15;4;3;0.49;0.51;518;0.77;8;15;1;1;0;0;7;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1;0.034;0.125;399;0.020050125313283207;814.2857142857143;0.5384615384615384;14.285714285714286;-2;-0.020000000000000018;6;0;-7;0.025096525096525095;0.07692307692307693;0.49;7.0;1;0;1;0;0;1;0;1;0.07692307692307693;0.25;0.0019305019305019305;13.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-26;RB Leipzig;23;29;1;31;175;Wolfsburg;3;2;16;11;4;5;0.51;0.49;437;0.81;15;10;3;2;0;0;8;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;4;0.04454545454545455;0.2;354;0.0423728813559322;694.1176470588235;0.5;15.686274509803921;5;0.020000000000000018;4;1;5;0.036613272311212815;0.0625;0.51;8.0;0;1;1;1;0;0;0;1;0.0625;0.25;0.002288329519450801;16.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;RB Leipzig;9;13;17;31;142;Heidenheim;3;3;17;4;6;2;0.74;0.26;554;0.85;15;15;3;3;0;0;7;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;4;0.065;0.2;471;0.03184713375796178;636.4864864864865;0.4117647058823529;9.45945945945946;13;0.48;3;0;0;0.030685920577617327;0.11764705882352941;0.37;3.5;1;1;2;0;1;0;0;1;0.11764705882352941;0.3333333333333333;0.0036101083032490976;8.5;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-14;RB Leipzig;9;17;17;31;173;Augsburgo;1;2;14;11;4;2;0.62;0.38;531;0.87;12;12;1;2;0;0;9;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;8;0.034545454545454546;0.08333333333333333;462;0.025974025974025976;745.1612903225806;0.6428571428571429;14.516129032258064;3;0.24;1;-1;0;0.026365348399246705;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-09;RB Leipzig;9;17;6;31;176;St. Pauli;3;2;11;7;6;4;0.56;0.44;569;0.88;12;8;2;2;1;0;5;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;4;0.06285714285714286;0.25;501;0.023952095808383235;894.6428571428571;0.45454545454545453;8.928571428571427;4;0.12000000000000005;1;1;4;0.019332161687170474;0.18181818181818182;0.28;2.5;2;0;2;1;0;0;0;1;0.18181818181818182;0.3333333333333333;0.0035149384885764497;5.5;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-01;RB Leipzig;9;29;0;31;169;FC Union Berlin;2;3;6;21;2;6;0.53;0.47;467;0.76;12;5;2;3;0;0;5;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;4;0.02238095238095238;0.16666666666666666;355;0.03380281690140845;669.8113207547169;0.8333333333333334;9.433962264150942;-15;0.06000000000000005;1;-1;7;0.01284796573875803;0.0;0.0;0.0;0;0;0;0;1;0;1;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-29;RB Leipzig;0;29;22;31;32;Sturm;1;2;15;9;5;5;0.61;0.39;450;0.75;10;13;1;2;0;0;9;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;3;0.043333333333333335;0.1;338;0.029585798816568046;554.0983606557377;0.6;14.754098360655737;6;0.21999999999999997;6;-1;-3;0.03333333333333333;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-25;RB Leipzig;9;1;3;31;6;Leverkusen;2;2;7;13;3;7;0.66;0.34;603;0.88;12;6;2;2;0;0;7;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;3;0.026153846153846156;0.16666666666666666;531;0.022598870056497175;804.5454545454545;1.0;10.606060606060606;-6;0.32;4;0;6;0.011608623548922056;0.2857142857142857;0.33;3.5;1;1;2;0;1;0;0;1;0.2857142857142857;0.6666666666666666;0.003316749585406302;3.5;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-22;RB Leipzig;0;13;1;31;8;Sporting Lisboa;3;0;10;17;6;2;0.47;0.53;462;0.82;16;6;3;0;0;0;0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;9;0.031176470588235295;0.1875;379;0.04221635883905013;806.3829787234043;0.0;0.0;-7;-0.06000000000000005;-9;3;10;0.021645021645021644;0.2;0.235;0.0;1;1;2;1;0;0;0;1;0.2;0.3333333333333333;0.004329004329004329;5.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-18;RB Leipzig;9;17;29;31;178;Bochum;0;4;11;14;3;3;0.56;0.44;480;0.78;7;14;0;4;0;0;3;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;6;0.03142857142857143;0.0;374;0.01871657754010695;667.8571428571428;0.2727272727272727;5.357142857142857;-3;0.12000000000000005;-3;-4;-7;0.022916666666666665;0.2727272727272727;0.18666666666666668;1.0;3;0;3;0;1;0;1;0;0.2727272727272727;1.0;0.00625;3.6666666666666665;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-15;RB Leipzig;9;17;1;31;18;Stuttgart;5;2;6;14;3;6;0.42;0.58;459;0.77;19;10;3;2;2;0;0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;5;0.041428571428571426;0.2631578947368421;353;0.053824362606232294;840.4761904761905;0.0;0.0;-8;-0.15999999999999998;-5;3;9;0.013071895424836602;0.16666666666666666;0.42;0.0;1;0;1;0;0;1;1;0;0.16666666666666666;0.3333333333333333;0.002178649237472767;6.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-01-12;RB Leipzig;9;17;9;31;171;Werder Bremen;1;1;18;7;7;2;0.49;0.51;519;0.82;7;12;1;1;0;0;4;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1;0.07285714285714286;0.14285714285714285;426;0.01643192488262911;869.3877551020408;0.2222222222222222;8.16326530612245;11;-0.020000000000000018;3;0;-5;0.03468208092485549;0.2222222222222222;0.1225;1.0;2;2;4;1;0;0;0;1;0.2222222222222222;0.5714285714285714;0.007707129094412331;4.5;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-20;RB Leipzig;9;4;3;31;23;Bayern;2;5;4;22;1;9;0.29;0.71;295;0.78;10;9;2;5;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;8;0.03227272727272727;0.2;230;0.043478260869565216;793.1034482758621;0.25;3.4482758620689657;-18;-0.42;-7;-3;1;0.013559322033898305;0.25;0.29;1.0;1;0;1;0;0;1;1;0;0.25;1.0;0.003389830508474576;4.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-15;RB Leipzig;9;4;17;31;87;Frankfurt;1;3;19;16;9;3;0.43;0.57;407;0.85;15;10;1;3;0;0;6;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;7;0.035625;0.06666666666666667;346;0.04335260115606936;804.6511627906976;0.3157894736842105;13.953488372093023;3;-0.13999999999999996;-1;-2;5;0.04668304668304668;0.10526315789473684;0.215;3.0;1;1;2;1;0;0;0;1;0.10526315789473684;0.2222222222222222;0.004914004914004914;9.5;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-10;RB Leipzig;0;1;3;31;1;Aston Villa;1;2;17;19;6;8;0.46;0.54;448;0.84;12;7;1;2;0;0;5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;7;0.028421052631578948;0.08333333333333333;376;0.031914893617021274;817.391304347826;0.29411764705882354;10.869565217391305;-2;-0.08000000000000002;-2;-1;5;0.03794642857142857;0.11764705882352941;0.23;2.5;1;1;2;0;0;1;0;1;0.11764705882352941;0.3333333333333333;0.004464285714285714;8.5;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024-12-07;RB Leipzig;9;2;2;31;177;KSV Holstein;3;4;9;17;5;5;0.44;0.56;393;0.78;13;11;3;4;0;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;6;0.03294117647058824;0.23076923076923078;307;0.04234527687296417;697.7272727272727;0.1111111111111111;2.272727272727273;-8;-0.12000000000000005;-5;-1;2;0.022900763358778626;0.2222222222222222;0.22;0.5;1;1;2;1;0;0;1;0;0.2222222222222222;0.4;0.005089058524173028;4.5;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
